1977|3|1|"SSAC XP 1977"|"??"|"??"|"??"|"??"|"SSACX"
1977|12|1|"SSAC XN 1977"|"??"|"??"|"??"|"??"|"SSACX"
1978|3|1|"SSAC XP 1978"|"??"|"??"|"??"|"??"|"SSACX"
1978|3|1|"SSAC XV 1978"|"??"|"??"|"??"|"??"|"SSACX"
1978|3|1|"SSAC XN 1978"|"??"|"??"|"??"|"??"|"SSACX"
1979|3|1|"SSAC XP 1979"|"??"|"??"|"??"|"??"|"SSACX"
1979|6|1|"SSAC XV 1979"|"??"|"??"|"??"|"??"|"SSACX"
1979|12|1|"SSAC XN 1979"|"??"|"??"|"??"|"??"|"SSACX"
1980|3|1|"SSAC XP 1980"|"??"|"??"|"??"|"??"|"SSACX"
1980|6|1|"SSAC XV 1980"|"??"|"??"|"??"|"??"|"SSACX"
1980|12|1|"SSAC XN 1980"|"??"|"??"|"??"|"??"|"SSACX"
1981|3|1|"SSAC XP 1981"|"??"|"??"|"??"|"??"|"SSACX"
1981|6|1|"SSAC XV 1981"|"??"|"??"|"??"|"??"|"SSACX"
1981|12|1|"SSAC XN 1981"|"??"|"??"|"??"|"??"|"SSACX"
1982|2|1|"SSAC XFEBRERILLO LOCO 1982"|"??"|"??"|"??"|"??"|"SSACX"
