Pulgarcito 02 (9 marz 1981)|pag50-57| Tete Cohete (sin titulo) 27105|||
Pulgarcito 02 (9 marz 1981)|pag58-65| Los pitufos (sin titulo)|||
Pulgarcito 02 (9 marz 1981)|pag58-65| Los pitufos (sin titulo)|||
Pulgarcito 02 (9 marz 1981)|pag66-67| pasatiempos (pitufos, p. tragacanto)|||
Pulgarcito 02 (9 marz 1981)|pag66-67| pasatiempos (pitufos, p. tragacanto)|||
Pulgarcito 02 (9 marz 1981)|pag68-83|" Tom y Jerry ""Persecución Implacable"" (2ª parte)"|||
Pulgarcito 02 (9 marz 1981)|pag68-83|" Tom y Jerry ""Persecución Implacable"" (2ª parte)"|||
Pulgarcito 02 (9 marz 1981)|pag84| Nero (sin titulo)|||
Pulgarcito 02 (9 marz 1981)|pag84| Nero (sin titulo)|||
Pulgarcito 02 (9 marz 1981)|pag85-95 |" Bermudillo, el genio del hatillo ""El médico malvado"" (2º episodio)"|||
Pulgarcito 02 (9 marz 1981)|pag85-95 |" Bermudillo, el genio del hatillo ""El médico malvado"" (2º episodio)"|||
Pulgarcito 02 (9 marz 1981)|pag96| pasatiempos (fix y foxy)|||
Pulgarcito 02 (9 marz 1981)|pag96| pasatiempos (fix y foxy)|||
Pulgarcito 02 (9 marz 1981)|pag97-98| Lanitas (sin titulo)|||
Pulgarcito 02 (9 marz 1981)|pag97-98| Lanitas (sin titulo)|||
Pulgarcito 02 (9 marz 1981)|pag99| pasatiempos (tete cohete) 27107|||
Pulgarcito 02 (9 marz 1981)|pag99| pasatiempos (tete cohete) 27107|||
Pulgarcito 02 (9 marz 1981)|Portada | Tom y Jerry|||
Pulgarcito 02 (9 marz 1981)|Portada | Tom y Jerry|||
Pulgarcito 04 (23 marz 1981)|pag02| pasatiempos (nero) y cuadro de revista|||
Pulgarcito 04 (23 marz 1981)|pag02| pasatiempos (nero) y cuadro de revista|||
Pulgarcito 04 (23 marz 1981)|pag03-16|" Pulgarcito ""La Tormenta"""|||
Pulgarcito 04 (23 marz 1981)|pag03-16|" Pulgarcito ""La Tormenta"""|||
Pulgarcito 04 (23 marz 1981)|pag100| Publicidad Pulgarcito (pulgarcito)|||
Pulgarcito 04 (23 marz 1981)|pag100| Publicidad Pulgarcito (pulgarcito)|||
Pulgarcito 04 (23 marz 1981)|pag17| pasatiempos (pulgarcito) 2717?|||
Pulgarcito 04 (23 marz 1981)|pag17| pasatiempos (pulgarcito) 2717?|||
Pulgarcito 04 (23 marz 1981)|pag18-30|" Tom y Jerry ""Gato Gordo no caza ratones"" 106465"|||
Pulgarcito 04 (23 marz 1981)|pag18-30|" Tom y Jerry ""Gato Gordo no caza ratones"" 106465"|||
Pulgarcito 04 (23 marz 1981)|pag31-32| pasatiempos (pulgarcito, tete cochete) 27176 2717?|||
Pulgarcito 04 (23 marz 1981)|pag31-32| pasatiempos (pulgarcito, tete cochete) 27176 2717?|||
Pulgarcito 04 (23 marz 1981)|pag33| Nero (sin titulo)|||
Pulgarcito 04 (23 marz 1981)|pag33| Nero (sin titulo)|||
Pulgarcito 04 (23 marz 1981)|pag34-45|" Bermudillo, el genio del hatillo ""El médico malvado"" (4º episodio)"|||
